https://www.googleapis.com/auth/dataportability.youtube.private_videos,Move a copy of your private YouTube videos and information about them.
https://www.googleapis.com/auth/dataportability.youtube.public_playlists,Move a copy of your public YouTube playlists.
https://www.googleapis.com/auth/dataportability.youtube.public_videos,Move a copy of your public YouTube videos and information about them.
https://www.googleapis.com/auth/dataportability.youtube.shopping,Move a copy of your YouTube shopping wishlists, and wishlist items.
https://www.googleapis.com/auth/dataportability.youtube.subscriptions,Move a copy of your YouTube channel subscriptions, even if they&#39;re private.
https://www.googleapis.com/auth/dataportability.youtube.unlisted_playlists,Move a copy of your unlisted YouTube playlists.
https://www.googleapis.com/auth/dataportability.youtube.unlisted_videos,Move a copy of your unlisted YouTube videos and information about them.
https://www.googleapis.com/auth/datastore,View and manage your Google Cloud Datastore data
https://www.googleapis.com/auth/ddmconversions,Manage DoubleClick Digital Marketing conversions
https://www.googleapis.com/auth/devstorage.full_control,Manage your data and permissions in Google Cloud Storage
https://www.googleapis.com/auth/devstorage.read_only,View your data in Google Cloud Storage
https://www.googleapis.com/auth/devstorage.read_write,Manage your data in Google Cloud Storage
https://www.googleapis.com/auth/dfareporting,View and manage DoubleClick for Advertisers reports
https://www.googleapis.com/auth/dfatrafficking,View and manage your DoubleClick Campaign Manager&#39;s (DCM) display ad campaigns
https://www.googleapis.com/auth/directory.readonly,See and download your organization&#39;s GSuite directory
https://www.googleapis.com/auth/documents,See, edit, create, and delete all your Google Docs documents
https://www.googleapis.com/auth/documents.readonly,See all your Google Docs documents
https://www.googleapis.com/auth/doubleclicksearch,View and manage your advertising data in DoubleClick Search
https://www.googleapis.com/auth/drive,See, edit, create, and delete all of your Google Drive files
https://www.googleapis.com/auth/drive.activity,View and add to the activity record of files in your Google Drive
https://www.googleapis.com/auth/drive.activity.readonly,View the activity record of files in your Google Drive
https://www.googleapis.com/auth/drive.appdata,See, create, and delete its own configuration data in your Google Drive
https://www.googleapis.com/auth/drive.file,See, edit, create, and delete only the specific Google Drive files you use with this app
https://www.googleapis.com/auth/drive.metadata,View and manage metadata of files in your Google Drive
https://www.googleapis.com/auth/drive.metadata.readonly,See information about your Google Drive files
https://www.googleapis.com/auth/drive.photos.readonly,View the photos, videos and albums in your Google Photos
https://www.googleapis.com/auth/drive.readonly,See and download all your Google Drive files
https://www.googleapis.com/auth/drive.scripts,Modify your Google Apps Script scripts&#39; behavior
https://www.googleapis.com/auth/ediscovery,Manage your eDiscovery data
https://www.googleapis.com/auth/ediscovery.readonly,View your eDiscovery data
https://www.googleapis.com/auth/firebase,View and administer all your Firebase data and settings
https://www.googleapis.com/auth/firebase.messaging,Send messages and manage messaging subscriptions for your Firebase applications
https://www.googleapis.com/auth/firebase.readonly,View all your Firebase data and settings
https://www.googleapis.com/auth/fitness.activity.read,Use Google Fit to see and store your physical activity data
https://www.googleapis.com/auth/fitness.activity.write,Add to your Google Fit physical activity data
https://www.googleapis.com/auth/fitness.blood_glucose.read,See info about your blood glucose in Google Fit. I consent to Google sharing my blood glucose information with this app.
https://www.googleapis.com/auth/fitness.blood_glucose.write,Add info about your blood glucose to Google Fit. I consent to Google using my blood glucose information with this app.
https://www.googleapis.com/auth/fitness.blood_pressure.read,See info about your blood pressure in Google Fit. I consent to Google sharing my blood pressure information with this app.
https://www.googleapis.com/auth/fitness.blood_pressure.write,Add info about your blood pressure in Google Fit. I consent to Google using my blood pressure information with this app.
https://www.googleapis.com/auth/fitness.body.read,See info about your body measurements in Google Fit
https://www.googleapis.com/auth/fitness.body.write,Add info about your body measurements to Google Fit
https://www.googleapis.com/auth/fitness.body_temperature.read,See info about your body temperature in Google Fit. I consent to Google sharing my body temperature information with this app.
https://www.googleapis.com/auth/fitness.body_temperature.write,Add to info about your body temperature in Google Fit. I consent to Google using my body temperature information with this app.
https://www.googleapis.com/auth/fitness.heart_rate.read,See your heart rate data in Google Fit. I consent to Google sharing my heart rate information with this app.
https://www.googleapis.com/auth/fitness.heart_rate.write,Add to your heart rate data in Google Fit. I consent to Google using my heart rate information with this app.
https://www.googleapis.com/auth/fitness.location.read,See your Google Fit speed and distance data
https://www.googleapis.com/auth/fitness.location.write,Add to your Google Fit location data
https://www.googleapis.com/auth/fitness.nutrition.read,See info about your nutrition in Google Fit
https://www.googleapis.com/auth/fitness.nutrition.write,Add to info about your nutrition in Google Fit
https://www.googleapis.com/auth/fitness.oxygen_saturation.read,See info about your oxygen saturation in Google Fit. I consent to Google sharing my oxygen saturation information with this app.
